env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp,environment,env_code,source_file
envA,cuda,resnet18,128,26,142.98,895.26,1763159424.882886,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,27,144.65,884.89,1763159425.0278037,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,28,144.12,888.13,1763159425.1722095,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,29,137.95,927.88,1763159425.3105626,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,30,131.74,971.63,1763159425.4425814,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,31,53.75,2381.46,1763159425.57759,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,32,130.36,981.93,1763159425.7082982,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,33,131.37,974.32,1763159425.8399315,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,34,130.99,977.15,1763159425.9712143,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,35,131.15,976.01,1763159426.1025963,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,36,130.99,977.18,1763159426.233911,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,37,132.38,966.94,1763159426.366619,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,38,132.37,966.96,1763159426.4992778,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,39,137.56,930.47,1763159426.637106,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,40,141.09,907.21,1763159426.7784846,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,41,54.31,2356.66,1763159426.9206133,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,42,135.45,945.02,1763159427.056389,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,43,142.65,897.27,1763159427.1993234,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,44,131.62,972.48,1763159427.3314126,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,45,131.1,976.36,1763159427.4626868,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,46,131.13,976.1,1763159427.5940886,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,47,139.08,920.33,1763159427.73357,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,48,143.4,892.6,1763159427.8773117,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,49,141.57,904.14,1763159428.0192242,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,50,143.49,892.06,1763159428.1631055,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,51,53.76,2381.05,1763159428.3048918,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,52,142.88,895.89,1763159428.4480703,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,53,137.26,932.55,1763159428.5856807,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,54,135.97,941.35,1763159428.7219992,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,55,132.69,964.63,1763159428.855325,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,56,131.99,969.79,1763159428.987463,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,57,130.46,981.12,1763159429.1180923,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,58,138.08,926.97,1763159429.256334,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,59,133.89,955.98,1763159429.3903832,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,60,131.16,975.89,1763159429.5216827,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,61,53.13,2409.02,1763159429.6567738,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,62,130.65,979.74,1763159429.7875538,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,63,141.85,902.34,1763159429.9295423,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet50,128,0,5326.58,24.03,1763157316.9777613,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,1,914.41,139.98,1763157321.434863,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,2,4800.01,26.67,1763157326.2351077,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,3,4760.43,26.89,1763157330.9956894,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,4,4941.08,25.91,1763157335.937036,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,5,4929.76,25.96,1763157340.8672135,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,6,4609.49,27.77,1763157345.476967,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,7,5180.25,24.71,1763157350.6575682,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,8,4963.9,25.79,1763157355.6216505,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,9,4661.22,27.46,1763157360.2830918,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,10,4792.73,26.71,1763157365.0761404,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,11,1026.22,124.73,1763157370.2805524,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,12,5450.89,23.48,1763157375.7316868,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,13,5679.11,22.54,1763157381.4110374,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,14,4812.68,26.6,1763157386.223993,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,15,4972.23,25.74,1763157391.1964805,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,16,4856.62,26.36,1763157396.0532744,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,17,5042.37,25.38,1763157401.095831,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,18,4812.15,26.6,1763157405.908362,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,19,5103.14,25.08,1763157411.011716,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,20,5101.77,25.09,1763157416.113722,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,21,1531.23,83.59,1763157423.4323976,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,22,7201.06,17.78,1763157430.6337118,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,23,7523.11,17.01,1763157438.15707,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,24,6319.21,20.26,1763157444.4765203,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,25,5156.51,24.82,1763157449.633196,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,26,5633.57,22.72,1763157455.2670577,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,27,5758.48,22.23,1763157461.025835,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,28,4950.87,25.85,1763157465.9769187,RTX 4080,A,resnet50_b128.csv
envA,cuda,resnet50,128,29,4460.41,28.7,1763157470.437605,RTX 4080,A,resnet50_b128.csv
